unique_key,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
"3874218,HL249047,2005-02-15 10:00:00.000000 UTC,064XX N WAYNE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,2432,24,40,1,08B,1166103.0,1942854.0,2005,2018-02-10 15:50:01.000000 UTC,41.998774971,-87.664309989,""(41.998774971, -87.664309989)"""
"11930693,JC558251,2019-12-23 21:00:00.000000 UTC,016XX W 47TH ST,0860,THEFT,RETAIL THEFT,CONVENIENCE STORE,false,false,924,9,15,61,06,1166298.0,1873549.0,2019,2019-12-30 15:41:13.000000 UTC,41.80859321,-87.665577234,""(41.80859321, -87.665577234)"""
"5082916,HM687357,2006-10-28 13:45:00.000000 UTC,048XX W FULLERTON AVE,0880,THEFT,PURSE-SNATCHING,PARKING LOT/GARAGE(NON.RESID.),false,false,2521,25,31,19,06,1143835.0,1915525.0,2006,2018-02-28 15:56:25.000000 UTC,41.924230143,-87.746915859,""(41.924230143, -87.746915859)"""
"12634634,JF164774,2022-03-06 01:15:00.000000 UTC,057XX N SPAULDING AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1711,17,39,13,08B,1153336.0,1938099.0,2022,2023-01-03 15:40:27.000000 UTC,41.985991133,-87.711403071,""(41.985991133, -87.711403071)"""
"10145188,HY334151,2015-07-08 03:00:00.000000 UTC,030XX W 47TH ST,2820,OTHER OFFENSE,TELEPHONE THREAT,OTHER,false,true,922,9,14,58,26,1157043.0,1873333.0,2015,2018-02-10 15:50:01.000000 UTC,41.80819279,-87.699528565,""(41.80819279, -87.699528565)"""
"3603634,HK696670,2004-10-19 04:00:00.000000 UTC,034XX N CENTRAL PARK AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1732,17,35,21,14,1151785.0,1922503.0,2004,2018-02-10 15:50:01.000000 UTC,41.943225437,-87.71751989,""(41.943225437, -87.71751989)"""
"2302494,HH588503,2002-08-18 11:45:00.000000 UTC,002XX E MARQUETTE RD,0560,ASSAULT,SIMPLE,RESIDENCE,true,true,322,3,20,69,08A,1178930.0,1860641.0,2002,2018-02-28 15:56:25.000000 UTC,41.772893757,-87.619639151,""(41.772893757, -87.619639151)"""
"7629185,HS433479,2010-06-26 18:05:00.000000 UTC,003XX W 35TH ST,0810,THEFT,OVER $500,SPORTS ARENA/STADIUM,false,false,925,9,11,34,06,1174431.0,1881739.0,2010,2018-02-10 15:50:01.000000 UTC,41.830890037,-87.635503335,""(41.830890037, -87.635503335)"""
"7848640,HS658898,2010-12-09 08:20:00.000000 UTC,012XX N CLARK ST,0870,THEFT,POCKET-PICKING,CTA TRAIN,false,false,1821,18,42,8,06,1175314.0,1908524.0,2010,2016-02-04 06:33:39.000000 UTC,41.904370109,-87.631460067,""(41.904370109, -87.631460067)"""
"7147892,HR556993,2009-09-26 03:30:00.000000 UTC,106XX S AVENUE M,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,false,false,432,4,10,52,05,1201520.0,1834935.0,2009,2018-02-10 15:50:01.000000 UTC,41.701810458,-87.537702971,""(41.701810458, -87.537702971)"""
